"cases","defennm","NewOrgname","NewUltorg"
"{07-2001-0304}","ZENECA, INC.","Zeneca Inc",
"{03-2001-0427}","ZENECA, INC","Zeneca Inc",
"{01-2004-0005}","ZENECA INC ON BEHALF OF POLYVINYL CHEMICAL INDS","Zeneca Inc",
"{01-2009-5555,01-2003-0061,01-2004-5022}","ZENECA INC","Zeneca Inc",
"{01-2006-0212}","ZENECA  INC","Zeneca Inc",
"{03-2001-0427}","YORK INTERNATIONAL CORPORATION","York International",
"{09-2004-0022}","Yellow Freight Systems Inc.","Yellow Freight System","YRC Worldwide"
"{02-2009-2006}","Yellow Freight System, Inc.","Yellow Freight System","YRC Worldwide"
"{04-2003-3504}","YELLOW FREIGHT SYSTEM, INC.","Yellow Freight System","YRC Worldwide"
"{09-2006-0081}","Yellow Freight Lines","Yellow Freight System","YRC Worldwide"
"{04-2003-3504}","YATES CONSTRUCTION CO.","Yates Construction",
"{04-2001-9026}","YALE INDUSTRIAL TRUCKS","Yale Industrial Trucks","Yale Industrial Products"
"{04-2003-3504}","YALE INDUSTRIAL PRODUCTS, INC.","Yale Industrial Products",
"{08-2004-0057}","XCel Energy, Inc.","Xcel Energy",
"{08-2005-0015}","Xcel Energy","Xcel Energy",
"{08-2006-0072}","Wyoming Refining Company","Wyoming Refining",
"{02-2001-2001}","WYETH-AYERST PHARMACEUTICALS INC","Wyeth","American Home Products"
"{03-2004-0087}","WYETH PHARMACEUTICALS, INC.","Wyeth","American Home Products"
"{02-2007-2009}","Wyeth on behalf of Shulton Inc","Wyeth","American Home Products"
"{02-2004-2011}","Wyeth obo Shulton Inc","Wyeth","American Home Products"
"{02-2008-2011,02-2007-2006}","Wyeth Holdings Corporation","Wyeth","American Home Products"
"{03-2004-0087,03-2004-0411,03-2004-0411}","WYETH HOLDINGS CORPORATION","Wyeth","American Home Products"
"{05-2006-0738}","WYETH COMPANY","Wyeth","American Home Products"
"{03-2004-0087,02-2005-0016,05-2007-0506}","WYETH","Wyeth","American Home Products"
"{04-2004-9006}","WURTSMITH AIR FORCE BASE","US Air Force","US Dept of Defense"
"{03-2003-7025,05-2003-0460}","WR GRACE","WR Grace & Co",
"{02-2009-2006}","Worthington Industries","Worthington Industries",
"{05-2006-0724}","WISCONSIN PUBLIC SERVICE CORPORATION","Wisconsin Public Service Corp","Integrys Energy Group"
"{05-2009-1016}","WISCONSIN PUBLIC SERVICE CORP.","Wisconsin Public Service Corp","Integrys Energy Group"
"{02-2009-2006}","Wisconsin Power and Light Company","Wisconsin Power & Light ","Alliant Energy"
"{05-2003-0333}","Wisconsin Electric Power Company","Wisconsin Electric Power","Wisconsin Energy Corp"
"{01-2004-7001}","WINN COMPANIES","Winn Companies",
"{01-2004-7001}","WINN COMPANIES","Winn Companies",
"{04-2001-9015}","WILLAMETTE INDUSTRIES, INC.","Willamette Industries","Weyerhaeuser Co"
"{05-2003-0405}","WHITE CONSOLIDATED INDUSTRIES, INC.","White Consolidated Industries",
"{03-2001-0427}","WHITE CONSOLIDATED INDUSTRIES, INC","White Consolidated Industries",
"{05-2007-0832}","Whirlpool Corporation","Whirlpool Corp",
"{05-2003-0405}","WHIRLPOOL CORPORATION","Whirlpool Corp",
"{10-2008-0090}","Weyerhaeuser Corporation","Weyerhaeuser Co",
"{09-2003-0225}","Weyerhaeuser Company","Weyerhaeuser Co",
"{04-2003-9045,04-2007-3759,05-2002-0377,04-2003-9046}","WEYERHAEUSER COMPANY","Weyerhaeuser Co",
"{01-2001-0121}","WEYEHAUSER COMPANY","Weyerhaeuser Co",
"{04-2001-9015}","WESTINGHOUSE ELECTRIC CORPORATION","Westinghouse Electric",
"{06-2009-0936}","Western Refining","Western Refining","GIANT Industries"
"{02-2008-2011}","WESTERN MICHIGAN UNIVERSITY","Western Michigan University",
"{07-2004-0319}","WESTAR ENERGY, INC","Westar Energy",
"{05-2007-9908}","WCI STEEL INC","WCI Steel","Renco Group"
"{04-2002-3753}","Waterman Steamship Corp.","Waterman Steamship",
"{03-2007-0033}","Waste Mngt Disposal Serv. of PA, Inc. f/k/a SCA","Waste Management Inc",
"{04-2004-3751}","WASTE MANAGEMENT/GAS RECVY","Waste Management Inc",
"{09-2009-2508}","Waste Management, Inc.","Waste Management Inc",
"{05-2007-0804,03-2004-0087}","WASTE MANAGEMENT, INC","Waste Management Inc",
"{04-2003-3504}","WASTE MANAGEMENT SUMMIT/MCCOMB","Waste Management Inc",
"{04-2003-3504}","WASTE MANAGEMENT PRAIRIE BLUFF","Waste Management Inc",
"{04-2003-3504}","WASTE MANAGEMENT OF MISSISSIPPI, INC.","Waste Management Inc",
"{04-2006-3758}","WASTE MANAGEMENT OF LEON COUNTY, INC.","Waste Management Inc",
"{05-2004-0547,05-2006-0716}","WASTE MANAGEMENT OF ILLINOIS, INC.","Waste Management Inc",
"{04-2003-3504}","WASTE MANAGEMENT NATCHEZ","Waste Management Inc",
